t,tasa
1,0.044299999999999999
2,0.040899999999999999
3,0.039899999999999998
4,0.039199999999999999
5,0.038699999999999998
6,0.038399999999999997
7,0.038300000000000001
8,0.038300000000000001
9,0.038300000000000001
10,0.038399999999999997
11,0.038600000000000002
12,0.038699999999999998
13,0.038899999999999997
14,0.039100000000000003
15,0.039199999999999999
16,0.039399999999999998
17,0.039600000000000003
18,0.039800000000000002
19,0.040000000000000001
20,0.0402
21,0.0402
22,0.0402
23,0.0402
24,0.0402
25,0.0402
26,0.0402
27,0.0402
28,0.0402
29,0.0402
30,0.0402
31,0.0402
32,0.0402
33,0.0402
34,0.0402
35,0.0402
36,0.0402
37,0.0402
38,0.0402
39,0.0402
40,0.0402
41,0.0402
42,0.0402
43,0.0402
44,0.0402
45,0.0402
46,0.0402
47,0.0402
48,0.0402
49,0.0402
50,0.0402
51,0.0402
52,0.0402
53,0.0402
54,0.0402
55,0.0402
56,0.0402
57,0.0402
58,0.0402
59,0.0402
60,0.0402
61,0.0402
62,0.0402
63,0.0402
64,0.0402
65,0.0402
66,0.0402
67,0.0402
68,0.0402
69,0.0402
70,0.0402
71,0.0402
72,0.0402
73,0.0402
74,0.0402
75,0.0402
76,0.0402
77,0.0402
78,0.0402
79,0.0402
80,0.0402
81,0.0402
82,0.0402
83,0.0402
84,0.0402
85,0.0402
86,0.0402
87,0.0402
88,0.0402
89,0.0402
90,0.0402
91,0.0402
92,0.042000000000000003
93,0.042000000000000003
94,0.042000000000000003
95,0.042000000000000003
96,0.042000000000000003
97,0.042000000000000003
98,0.042000000000000003
99,0.042000000000000003
100,0.042000000000000003
101,0.042000000000000003
102,0.042000000000000003
103,0.042000000000000003
104,0.042000000000000003
105,0.042000000000000003
106,0.042000000000000003
107,0.042000000000000003
108,0.042000000000000003
109,0.042000000000000003
110,0.042000000000000003
111,0.042000000000000003
112,0.042000000000000003
113,0.042000000000000003
114,0.042000000000000003
115,0.042000000000000003
116,0.042000000000000003
117,0.042000000000000003
118,0.042000000000000003
119,0.042000000000000003
120,0.042000000000000003
121,0.042000000000000003
122,0.042000000000000003
123,0.042000000000000003
124,0.042000000000000003
125,0.042000000000000003
126,0.042000000000000003
127,0.042000000000000003
128,0.042000000000000003
129,0.042000000000000003
130,0.042000000000000003
131,0.042000000000000003
132,0.042000000000000003
133,0.042000000000000003
134,0.042000000000000003
135,0.042000000000000003
136,0.042000000000000003
137,0.042000000000000003
138,0.042000000000000003
139,0.042000000000000003
140,0.042000000000000003
141,0.042000000000000003
142,0.042000000000000003
143,0.042000000000000003
144,0.042000000000000003
145,0.042000000000000003
146,0.042000000000000003
147,0.042000000000000003
148,0.042000000000000003
149,0.042000000000000003
150,0.042000000000000003
151,0.042000000000000003
152,0.042000000000000003
153,0.042000000000000003
154,0.042000000000000003
155,0.042000000000000003
156,0.042000000000000003
157,0.042000000000000003
158,0.042000000000000003
159,0.042000000000000003
160,0.042000000000000003
161,0.042000000000000003
162,0.042000000000000003
163,0.042000000000000003
164,0.042000000000000003
165,0.042000000000000003
166,0.042000000000000003
167,0.042000000000000003
168,0.042000000000000003
169,0.042000000000000003
170,0.042000000000000003
171,0.042000000000000003
172,0.042000000000000003
173,0.042000000000000003
174,0.042000000000000003
175,0.042000000000000003
176,0.042000000000000003
177,0.042000000000000003
178,0.042000000000000003
179,0.042000000000000003
180,0.042000000000000003
181,0.042000000000000003
182,0.042000000000000003
183,0.042000000000000003
184,0.042000000000000003
185,0.042000000000000003
186,0.042000000000000003
187,0.042000000000000003
188,0.042000000000000003
189,0.042000000000000003
190,0.042000000000000003
191,0.042000000000000003
